"id","name","url","address","facility_type","license_type","capacity","ages"
29,"Academy of Christian Education","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=23893;search_require_client_code-2106=1;search_require_client_code-2101=1","10800 Parkridge BoulevardSuite 150RESTON, VA  20190","Child Day Center","Two Year","147","2 years6 months-10 years11 months"
30,"Academy of Early Learning","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=28543;search_require_client_code-2106=1;search_require_client_code-2101=1","3560 Chester StreetVIRGINIA BEACH, VA  23452","Child Day Center","Two Year","132","1 month-12 years11 months"
31,"Accotink Academy Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=34519;search_require_client_code-2106=1;search_require_client_code-2101=1","6215 Rolling RoadSPRINGFIELD, VA  22152","Child Day Center","Two Year","150","2 years9 months-6 years11 months"
32,"Adams International School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37229;search_require_client_code-2106=1;search_require_client_code-2101=1","1655 Broad Street RoadMAIDENS, VA  23102","Child Day Center","Two Year","56","2 years6 months-12 years11 months"
33,"Advent Christian Child Care Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8079;search_require_client_code-2106=1;search_require_client_code-2101=1","8079 Studley RoadMECHANICSVILLE, VA  23116","Child Day Center","Two Year","188","2 years6 months-12 years11 months"
34,"Adventureland - Hylton Boys & Girls Club","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=14404;search_require_client_code-2106=1;search_require_client_code-2101=1","5070 Dale BoulevardWOODBRIDGE, VA  22193","Child Day Center","Two Year","240","5 years-12 years11 months"
35,"Agnor-Hurt Elementary EDEP","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42114;search_require_client_code-2106=1;search_require_client_code-2101=1","3201 Berkmar DriveCHARLOTTESVILLE, VA  22901","Child Day Center","Two Year","65","4 years-11 years11 months"
36,"Al Fatih Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40997;search_require_client_code-2106=1;search_require_client_code-2101=1","12300 Pinecrest RoadRESTON, VA  20191","Child Day Center","Two Year","40","2 years6 months-5 years11 months"
37,"Albemarle Montessori Children\'s Community","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=40461;search_require_client_code-2106=1;search_require_client_code-2101=1","1550-1554 Insurance LaneCHARLOTTESVILLE, VA  22911","Child Day Center","Two Year","82","2 years-6 years11 months"
38,"Albert Harris Elementary Boys & Girls Clubs Afterschool Program","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=33248;search_require_client_code-2106=1;search_require_client_code-2101=1","710 Smith RoadMARTINSVILLE, VA  24112","Child Day Center","Two Year","200","5 years-12 years11 months"
39,"Aldersgate Day School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=9260;search_require_client_code-2106=1;search_require_client_code-2101=1","1301 Collingswood RoadALEXANDRIA, VA  22308","Child Day Center","Two Year","150","1 year-5 years11 months"
40,"Aldersgate UMC Kinder Prep","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=17028;search_require_client_code-2106=1;search_require_client_code-2101=1","4320 Bruce RoadCHESAPEAKE, VA  23321","Child Day Center","Two Year","160","2 years6 months-7 years11 months"
41,"Alexandria Academy of Fine Arts and Science","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=39305;search_require_client_code-2106=1;search_require_client_code-2101=1","425 S. Washington StreetALEXANDRIA, VA  22314","Child Day Center","Two Year","13","1 year6 months-12 years11 months"
42,"Alexandria Country Day School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=16640;search_require_client_code-2106=1;search_require_client_code-2101=1","2400 Russell RoadALEXANDRIA, VA  22301","Child Day Center","Two Year","50","5 years-12 years11 months"
43,"All Aboard Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=20041;search_require_client_code-2106=1;search_require_client_code-2101=1","7147 Stonewall ParkwayMECHANICSVILLE, VA  23111","Child Day Center","Two Year","200","1 month-5 years11 months"
44,"All About Children","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=31309;search_require_client_code-2106=1;search_require_client_code-2101=1","931 GlenRock RoadNORFOLK, VA  23502","Child Day Center","Two Year","119","1 month-12 years11 months"
45,"All About Children Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41940;search_require_client_code-2106=1;search_require_client_code-2101=1","1025 Newtown RoadNORFOLK, VA  23502","Child Day Center","Two Year","40","2 years6 months-12 years11 months"
46,"All God\'s Children Child Development Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42014;search_require_client_code-2106=1;search_require_client_code-2101=1","900 Glendower RoadSCOTTSVILLE, VA  24590","Child Day Center","Two Year","38","1 month-5 years11 months"
47,"All Saints School Extended Day & Pre-Kindergarten Program","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=14743;search_require_client_code-2106=1;search_require_client_code-2101=1","9294 Stonewall RoadMANASSAS, VA  20110-2545","Child Day Center","Two Year","150","4 years-12 years11 months"
48,"All Things Common, LLC","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42437;search_require_client_code-2106=1;search_require_client_code-2101=1","6101 Boonsboro RoadLYNCHBURG, VA  24503","Child Day Center","Two Year","38","2 years6 months-12 years11 months"
49,"Alleghany Highlands YMCA  Central Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=18081;search_require_client_code-2106=1;search_require_client_code-2101=1","100 Gleason DriveCOVINGTON, VA  24426","Child Day Center","Two Year","100","1 month-12 years11 months"
50,"Alleghany Highlands YMCA West Early Learning Center","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=37681;search_require_client_code-2106=1;search_require_client_code-2101=1","515 E. Pine StreetCOVINGTON, VA  24426","Child Day Center","Two Year","133","1 month-12 years11 months"
51,"Alpha Beta Cappa Christian Academy","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=8884;search_require_client_code-2106=1;search_require_client_code-2101=1","7425 Chesapeake BlvdNORFOLK, VA  23513","Child Day Center","Two Year","137","2 years-12 years11 months"
52,"Alpha-Bet Preschool","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=14480;search_require_client_code-2106=1;search_require_client_code-2101=1","10047 Nokesville RoadMANASSAS, VA  20110-4131","Child Day Center","Two Year","50","3 years-5 years11 months"
53,"AlphaBEST at  Parkside Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41287;search_require_client_code-2106=1;search_require_client_code-2101=1","8602 Mathis AvenueMANASSAS, VA  20110","Child Day Center","Two Year","25","10 years-12 years11 months"
54,"AlphaBEST at  Pattie Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41309;search_require_client_code-2106=1;search_require_client_code-2101=1","16125 Dumfries RoadDUMFRIES, VA  22026","Child Day Center","Two Year","75","5 years-12 years11 months"
55,"AlphaBEST at  Round Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41384;search_require_client_code-2106=1;search_require_client_code-2101=1","10100 Hasting DriveMANASSAS, VA  20110","Child Day Center","Two Year","45","5 years-12 years11 months"
56,"AlphaBEST at  Williams Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41254;search_require_client_code-2106=1;search_require_client_code-2101=1","3100 Panther Pride DriveDUMFRIES, VA  22026","Child Day Center","Two Year","105","5 years-12 years11 months"
57,"AlphaBEST at Alvey Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41248;search_require_client_code-2106=1;search_require_client_code-2101=1","5300 Waverly Farm DriveHAYMARKET, VA  20169","Child Day Center","Two Year","125","5 years-12 years11 months"
58,"AlphaBEST at Baldwin Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=42296;search_require_client_code-2106=1;search_require_client_code-2101=1","9000 Tudor LaneMANASSAS, VA  20110","Child Day Center","Two Year","70","5 years-12 years11 months"
59,"AlphaBEST at Belmont Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41280;search_require_client_code-2106=1;search_require_client_code-2101=1","751 Norwood LaneWOODBRIDGE, VA  22191","Child Day Center","Two Year","50","5 years-12 years11 months"
60,"AlphaBEST at Bennett Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41272;search_require_client_code-2106=1;search_require_client_code-2101=1","8800 Old Dominion DriveMANASSAS, VA  20110","Child Day Center","Two Year","105","5 years-12 years11 months"
61,"AlphaBEST at Benton Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41335;search_require_client_code-2106=1;search_require_client_code-2101=1","7411 Hoadley RoadMANASSAS, VA  20112","Child Day Center","Two Year","25","10 years-12 years11 months"
62,"AlphaBEST at Buckland Mills Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41255;search_require_client_code-2106=1;search_require_client_code-2101=1","10511 Wharfdale PlaceGAINESVILLE, VA  20155","Child Day Center","Two Year","75","5 years-12 years11 months"
63,"AlphaBEST at Bull Run Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41258;search_require_client_code-2106=1;search_require_client_code-2101=1","6308 Catharpin RoadGAINESVILLE, VA  20155","Child Day Center","Two Year","25","10 years-12 years11 months"
64,"AlphaBEST at Cedar Point Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41261;search_require_client_code-2106=1;search_require_client_code-2101=1","12601 Braemar ParkwayBRISTOW, VA  20136","Child Day Center","Two Year","75","5 years-12 years11 months"
65,"AlphaBEST at Chris Yung Elementary School","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41263;search_require_client_code-2106=1;search_require_client_code-2101=1","12612 Foglight WayBRISTOW, VA  20136","Child Day Center","Two Year","75","5 years-12 years11 months"
66,"AlphaBEST at Coles Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41322;search_require_client_code-2106=1;search_require_client_code-2101=1","7405 Hoadly RoadMANASSAS, VA  20112","Child Day Center","Two Year","50","5 years-12 years11 months"
67,"AlphaBEST at Covington-Harper Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43768;search_require_client_code-2106=1;search_require_client_code-2101=1","2500 River Heritage BoulavardDUMFRIES, VA  22026","Child Day Center","Conditional","60","5 years11 months-12 years11 months"
68,"AlphaBEST at Dale City Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41274;search_require_client_code-2106=1;search_require_client_code-2101=1","14450 Brook DriveWOODBRIDGE, VA  22193","Child Day Center","Two Year","50","5 years-12 years11 months"
69,"AlphaBEST at Dumfries","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41251;search_require_client_code-2106=1;search_require_client_code-2101=1","3990 Cameron StreetDUMFRIES, VA  22026","Child Day Center","Two Year","45","5 years-12 years11 months"
70,"AlphaBEST at Ellis Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41267;search_require_client_code-2106=1;search_require_client_code-2101=1","8800 Rixlew LaneMANASSAS, VA  20109","Child Day Center","Two Year","75","5 years-12 years11 months"
71,"AlphaBEST at Enterprise Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41299;search_require_client_code-2106=1;search_require_client_code-2101=1","13900 Lindendale RoadWOODBRIDGE, VA  22193","Child Day Center","Two Year","50","5 years-12 years11 months"
72,"AlphaBEST at Fitzgerald Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41275;search_require_client_code-2106=1;search_require_client_code-2101=1","15500 Benita Fitzgerald DriveWOODBRIDGE, VA  22193","Child Day Center","Two Year","105","5 years-12 years11 months"
73,"AlphaBEST at Glenkirk Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41256;search_require_client_code-2106=1;search_require_client_code-2101=1","8584 Sedge Wren DriveGAINESVILLE, VA  20155","Child Day Center","Two Year","75","5 years-12 years11 months"
74,"AlphaBEST at Gravely Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41247;search_require_client_code-2106=1;search_require_client_code-2101=1","4670 Waverly Farm DriveHAYMARKET, VA  20169","Child Day Center","Two Year","105","5 years-12 years11 months"
75,"AlphaBEST at Hampton Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41290;search_require_client_code-2106=1;search_require_client_code-2101=1","14800 Darbydale AvenueWOODBRIDGE, VA  22193","Child Day Center","Two Year","25","10 years-12 years11 months"
76,"AlphaBEST at Haymarket Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41249;search_require_client_code-2106=1;search_require_client_code-2101=1","15500 Learning LaneHAYMARKET, VA  20169","Child Day Center","Two Year","75","5 years-12 years11 months"
77,"AlphaBEST at Kerrydale Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41300;search_require_client_code-2106=1;search_require_client_code-2101=1","13199 Kerrydale RoadWOODBRIDGE, VA  22193","Child Day Center","Two Year","100","5 years-12 years11 months"
78,"AlphaBEST at Kilby Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43881;search_require_client_code-2106=1;search_require_client_code-2101=1","1800 Horner RoadWOODBRIDGE, VA  22191","Child Day Center","Two Year","120","5 years-12 years11 months"
79,"AlphaBEST at King Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41301;search_require_client_code-2106=1;search_require_client_code-2101=1","13224 Nickleson DriveWOODBRIDGE, VA  22193","Child Day Center","Two Year","105","5 years-12 years11 months"
80,"AlphaBEST at Lake Ridge Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41279;search_require_client_code-2106=1;search_require_client_code-2101=1","11970 Hedges Run DriveWOODBRIDGE, VA  22192","Child Day Center","Two Year","104","5 years-12 years11 months"
81,"AlphaBEST at Leesylvania Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41277;search_require_client_code-2106=1;search_require_client_code-2101=1","15800 Neabsco RoadWOODBRIDGE, VA  22191","Child Day Center","Two Year","75","5 years-12 years11 months"
82,"AlphaBEST at Marshall Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41273;search_require_client_code-2106=1;search_require_client_code-2101=1","12505 Kahns RoadMANASSAS, VA  20112","Child Day Center","Two Year","105","5 years-12 years11 months"
83,"AlphaBEST at Marumsco Hills Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41298;search_require_client_code-2106=1;search_require_client_code-2101=1","14100 Page StreetWOODBRIDGE, VA  22191","Child Day Center","Two Year","50","5 years-12 years11 months"
84,"AlphaBEST at McAuliffe Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41308;search_require_client_code-2106=1;search_require_client_code-2101=1","13540 Princedale DriveWOODBRIDGE, VA  22193","Child Day Center","Two Year","60","5 years-12 years11 months"
85,"AlphaBEST at Montclair Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41252;search_require_client_code-2106=1;search_require_client_code-2101=1","4920 Tallowwood DriveDUMFRIES, VA  22025","Child Day Center","Two Year","75","5 years-12 years11 months"
86,"AlphaBEST at Neabsco Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41323;search_require_client_code-2106=1;search_require_client_code-2101=1","3800 Cordell AvenueWOODBRIDGE, VA  22193","Child Day Center","Two Year","50","5 years-12 years11 months"
87,"AlphaBEST at Nokesville","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41244;search_require_client_code-2106=1;search_require_client_code-2101=1","12375 Aden RoadNOKESVILLE, VA  20181","Child Day Center","Two Year","75","5 years-12 years11 months"
88,"AlphaBEST at Occoquan Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41282;search_require_client_code-2106=1;search_require_client_code-2101=1","12915 Occoquan RoadWOODBRIDGE, VA  22192","Child Day Center","Two Year","50","5 years-12 years11 months"
89,"AlphaBEST at Old Bridge Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41291;search_require_client_code-2106=1;search_require_client_code-2101=1","3051 Old Bridge RoadWOODBRIDGE, VA  22192","Child Day Center","Two Year","75","5 years-12 years11 months"
90,"AlphaBEST at Penn Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41281;search_require_client_code-2106=1;search_require_client_code-2101=1","12980 Queen Chapel RoadWOODBRIDGE, VA  22193","Child Day Center","Two Year","90","5 years-12 years11 months"
91,"AlphaBEST at Pennington Traditional","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41284;search_require_client_code-2106=1;search_require_client_code-2101=1","9305 Stonewall RoadMANASSAS, VA  20110","Child Day Center","Two Year","50","5 years-12 years11 months"
92,"AlphaBEST at Piney Branch","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41259;search_require_client_code-2106=1;search_require_client_code-2101=1","8301 Linton Hall RoadBRISTOW, VA  20136","Child Day Center","Two Year","160","5 years-12 years11 months"
93,"AlphaBEST at Porter Traditional","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41292;search_require_client_code-2106=1;search_require_client_code-2101=1","15311 Forest Grove LaneWOODBRIDGE, VA  22191","Child Day Center","Two Year","180","5 years-12 years11 months"
94,"AlphaBEST at Potomac Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41266;search_require_client_code-2106=1;search_require_client_code-2101=1","3130 Panther Pride DriveDUMFRIES, VA  22026","Child Day Center","Two Year","25","10 years-12 years11 months"
95,"AlphaBEST at Potomac View Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=43769;search_require_client_code-2106=1;search_require_client_code-2101=1","14601 Lamar RoadWOODBRIDGE, VA  22191","Child Day Center","Two Year","45","5 years11 months-12 years11 months"
96,"AlphaBEST at Reagan Middle","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41246;search_require_client_code-2106=1;search_require_client_code-2101=1","15801 Tanning House PlaceHAYMARKET, VA  20169","Child Day Center","Two Year","25","10 years-12 years11 months"
97,"AlphaBEST at River Oaks Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41294;search_require_client_code-2106=1;search_require_client_code-2101=1","16950 McGuffey\'s TrailWOODBRIDGE, VA  22191","Child Day Center","Two Year","75","5 years-12 years11 months"
98,"AlphaBEST at Rockledge Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41286;search_require_client_code-2106=1;search_require_client_code-2101=1","2300 Mariner LaneWOODBRIDGE, VA  22192","Child Day Center","Two Year","100","5 years-12 years11 months"
99,"AlphaBEST at Signal Hill Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41271;search_require_client_code-2106=1;search_require_client_code-2101=1","9553 Birmingham DriveMANASSAS, VA  20111","Child Day Center","Two Year","75","5 years-12 years11 months"
100,"AlphaBEST at Sinclair Elementary","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41269;search_require_client_code-2106=1;search_require_client_code-2101=1","7801 Garner DriveMANASSAS, VA  20109","Child Day Center","Two Year","75","5 years-12 years11 months"
101,"AlphaBEST at Swans Creek","http://www.dss.virginia.gov/facility/search/cc2.cgi?rm=Details;ID=41253;search_require_client_code-2106=1;search_require_client_code-2101=1","17700 Wayside DriveDUMFRIES, VA  22026","Child Day Center","Two Year","75","5 years-12 years11 months"
